Posi	Sonar	Lidar	Fusion
-0.33	61.04	30.09	56.68
-0.39	61.04	32.56	57.03
-0.46	61.04	20.11	55.28
-0.52	54.72	12.75	48.82
-0.46	46.3	11.97	41.48
-0.39	46.3	12.72	41.58
-0.33	46.3	13.28	41.66
-0.26	46.3	14.14	41.78
-0.2	48.41	14.71	43.67
-0.13	54.72	15.88	49.26
-0.07	61.04	17.22	54.88
0.0	61.04	18.11	55.0
0.07	61.04	18.87	55.11
0.13	61.04	20.69	55.36
0.2	61.04	22.03	55.55
0.26	61.04	24.05	55.84
0.33	63.14	25.58	57.86
0.39	63.14	28.73	58.3
0.46	61.04	32.67	57.05
0.52	61.04	35.24	57.41
0.59	61.04	37.85	57.78
0.65	63.14	45.23	60.62
0.72	63.14	50.21	61.32
0.79	61.04	59.19	60.78
0.85	63.14	62.74	63.08
0.92	61.04	63.82	61.43
0.98	63.14	69.38	64.02
1.05	61.04	66.3	61.77
1.11	61.04	61.68	61.13
1.18	63.14	65.52	63.47
1.24	61.04	65.52	61.67
1.31	63.14	68.11	63.84
1.37	63.14	64.57	63.34
1.44	63.14	65.52	63.47
1.51	61.04	67.5	61.94
1.57	63.14	64.19	63.29
1.64	61.04	62.56	61.25
1.7	63.14	67.5	63.75
1.77	63.14	65.91	63.53
1.83	63.14	67.09	63.7
1.9	61.04	64.01	61.45
1.96	61.04	64.75	61.56
2.03	61.04	67.91	62.0
2.09	61.04	65.33	61.64
2.16	63.14	61.34	62.89
2.23	61.04	66.1	61.75
2.29	63.14	65.52	63.47
2.36	80	64.75	77.86
2.42	80	61.34	77.38
2.49	80	70.9	78.72
2.55	80	80	80.0
2.62	80	80	80.0
2.68	80	80	80.0
2.75	80	80	80.0
2.81	80	60.5	77.26
2.88	77.87	61.86	75.62
2.95	80	67.3	78.21
3.01	80	41.92	74.65
3.08	80	50.21	75.81
3.14	80	56.13	76.64
3.21	80	64.01	77.75
3.27	80	80	80.0
3.34	80	80	80.0
3.4	80	80	80.0
3.47	80	80	80.0
3.53	80	53.75	76.31
3.6	77.87	67.5	76.41
3.67	67.35	77.93	68.84
3.6	80	80	80.0
3.53	12.63	14.44	12.88
3.47	42.09	7.94	37.29
3.4	37.88	7.79	33.65
3.34	10.52	7.79	10.14
3.27	10.52	7.7	10.13
3.21	33.67	7.65	30.02
3.14	54.72	7.86	48.13
3.08	54.72	8.11	48.17
3.01	61.04	8.43	53.64
2.95	56.83	8.69	50.06
2.88	50.51	9.05	44.68
2.81	50.51	9.41	44.73
2.75	52.62	9.8	46.6
2.68	50.51	10.22	44.85
2.62	52.62	10.68	46.72
2.55	48.41	11.2	43.18
2.49	48.41	11.73	43.25
2.42	50.51	12.27	45.14
2.36	48.41	12.92	43.42
2.29	52.62	13.6	47.13
2.23	50.51	14.3	45.42
2.16	48.41	15.15	43.73
2.09	48.41	11.8	43.26
2.03	44.2	11.13	39.55
1.96	42.09	11.64	37.81
1.9	39.99	12.27	36.09
1.83	37.88	12.86	34.37
1.77	37.88	13.6	34.47
1.7	27.36	13.3	25.38
1.64	39.99	12.53	36.13
1.57	39.99	13.15	36.22
1.51	44.2	13.82	39.93
1.44	46.3	14.63	41.85
1.37	46.3	15.53	41.98
1.31	37.88	16.46	34.87
1.24	37.88	17.56	35.03
1.18	33.67	18.65	31.56
1.11	39.99	20.06	37.19
1.05	48.41	19.56	44.35
0.98	52.62	16.26	47.51
0.92	54.72	8.85	48.27
0.85	56.83	7.83	49.94
0.79	8.42	7.9	8.35
0.72	6.31	8.22	6.58
0.65	33.67	8.51	30.14
0.59	35.78	8.67	31.97
0.52	61.04	8.81	53.69
0.46	61.04	9.07	53.73
0.39	42.09	9.21	37.47
0.33	23.15	9.59	21.24
0.26	37.88	10.01	33.97
0.2	54.72	10.46	48.5
-0.46	25.26	22.89	24.92
-0.39	25.26	25.86	25.34
-0.33	29.47	25.54	28.91
-0.26	23.15	26.56	23.63
-0.2	25.26	27.97	25.64
-0.13	27.36	28.69	27.55
-0.07	27.36	30.9	27.86
0.0	27.36	31.66	27.97
0.07	27.36	34.69	28.39
0.13	25.26	36.6	26.85
0.2	27.36	40.91	29.27
0.26	27.36	46.75	30.09
0.33	29.47	53.75	32.88
0.39	42.09	62.92	45.02
0.46	44.2	76.63	48.76
0.52	67.35	80	69.13
0.59	63.14	80	65.51
0.65	67.35	80	69.13
0.72	73.66	80	74.55
0.79	80	80	80.0
0.85	80	80	80.0
0.92	80	38.14	74.12
0.98	80	32.72	73.35
1.05	80	27.81	72.66
1.11	80	23.84	72.11
1.18	80	25.9	72.4
1.24	80	28.26	72.73
1.31	80	31.35	73.16
1.37	80	34.99	73.67
1.44	48.41	39.02	47.09
1.51	46.3	44.36	46.03
1.57	46.3	50.69	46.92
1.64	44.2	59.51	46.35
1.7	46.3	70.24	49.67
1.77	42.09	79.0	47.28
1.83	44.2	80	49.23
1.9	46.3	80	51.04
1.96	46.3	80	51.04
2.03	46.3	80	51.04
2.09	44.2	80	49.23
2.16	42.09	80	47.42
2.23	42.09	37.01	41.38
2.29	42.09	33.97	40.95
2.36	42.09	38.28	41.56
2.42	44.2	43.06	44.04
2.49	48.41	47.28	48.25
2.55	44.2	55.13	45.73
2.62	44.2	44.26	44.21
2.68	42.09	47.28	42.82
2.75	21.05	50.44	25.18
2.81	21.05	51.67	25.35
2.88	21.05	53.35	25.59
2.95	21.05	57.02	26.1
3.01	23.15	44.93	26.21
3.08	21.05	44.83	24.39
3.14	23.15	44.83	26.2
3.21	23.15	47.6	26.59
3.27	33.67	47.49	35.62
3.34	35.78	54.16	38.36
3.4	48.41	40.26	47.26
3.47	48.41	37.71	46.9
3.53	21.05	41.83	23.97
3.6	23.15	47.92	26.63
3.67	52.62	31.35	49.63
3.6	52.62	30.51	49.51
3.53	46.3	10.08	41.21
3.47	46.3	9.66	41.15
3.4	52.62	10.06	46.64
3.34	23.15	10.57	21.38
3.27	23.15	11.07	21.45
3.21	48.41	11.61	43.23
3.14	48.41	12.18	43.32
3.08	46.3	12.78	41.59
3.01	33.67	13.45	30.83
2.95	33.67	14.19	30.94
2.88	23.15	15.05	22.01
2.81	23.15	15.96	22.14
2.75	21.05	16.93	20.47
2.68	23.15	18.11	22.44
2.62	21.05	19.28	20.8
2.55	23.15	20.62	22.8
2.49	21.05	22.27	21.22
2.42	21.05	24.21	21.49
2.36	44.2	26.22	41.67
2.29	42.09	28.78	40.22
2.23	48.41	31.61	46.05
2.16	48.41	34.93	46.51
2.09	42.09	39.63	41.75
2.03	42.09	44.55	42.44
1.96	44.2	40.18	43.63
1.9	44.2	28.31	41.96
1.83	44.2	30.42	42.26
1.77	44.2	34.03	42.77
1.7	44.2	37.36	43.24
1.64	46.3	42.88	45.82
1.57	44.2	48.03	44.74
1.51	44.2	55.7	45.81
1.44	42.09	66.69	45.55
1.37	44.2	80	49.23
1.31	46.3	69.59	49.58
1.24	44.2	80	49.23
1.18	48.41	32.24	46.13
1.11	63.14	36.6	59.41
1.05	67.35	41.16	63.67
0.98	71.56	46.54	68.04
0.92	67.35	53.88	65.46
0.85	63.14	64.01	63.26
0.79	67.35	76.63	68.65
0.72	65.24	80	67.32
0.65	67.35	80	69.13
0.59	65.24	80	67.32
0.52	67.35	80	69.13
0.46	71.56	80	72.75
0.39	67.35	80	69.13
0.33	63.14	80	65.51
0.26	67.35	80	69.13
0.2	63.14	80	65.51
0.13	42.09	80	47.42
0.07	25.26	80	32.95
0.0	27.36	61.86	32.21
-0.07	25.26	34.21	26.51
-0.13	25.26	30.27	25.96
-0.2	27.36	29.3	27.63
-0.26	25.26	28.26	25.68
-0.33	42.09	28.01	40.11
-0.39	25.26	24.83	25.2
-0.46	27.36	27.01	27.31
-0.52	35.78	21.51	33.77
-0.46	27.36	12.04	25.21
-0.39	44.2	12.4	39.73
-0.33	35.78	12.8	32.55
-0.26	39.99	13.26	36.23
-0.2	50.51	14.03	45.38
-0.13	80	14.84	70.84
-0.07	48.41	15.84	43.83
0.0	77.87	16.75	69.28
0.07	27.36	17.94	26.04
0.13	27.36	19.09	26.2
0.2	27.36	20.38	26.38
0.26	27.36	22.05	26.61
0.33	27.36	23.9	26.87
0.39	27.36	25.9	27.15
0.46	31.57	28.47	31.13
0.52	35.78	31.15	35.13
0.59	80	34.69	73.63
0.65	80	38.57	74.18
0.72	71.56	44.17	67.71
0.79	67.35	50.32	64.96
0.85	63.14	58.39	62.47
0.92	80	31.46	73.18
0.98	80	33.97	73.53
1.05	80	37.92	74.09
1.11	63.14	43.15	60.33
1.18	80	48.81	75.62
1.24	71.56	56.87	69.49
1.31	69.45	67.91	69.24
1.37	63.14	80	65.51
1.44	48.41	71.35	51.63
1.51	48.41	64.57	50.68
1.57	44.2	75.37	48.58
1.64	44.2	80	49.23
1.7	44.2	80	49.23
1.77	44.2	71.8	48.08
1.83	44.2	80	49.23
1.9	44.2	80	49.23
1.96	44.2	80	49.23
2.03	46.3	80	51.04
2.09	48.41	80	52.85
2.16	48.41	68.95	51.29
2.23	44.2	37.64	43.28
2.29	42.09	27.21	40.0
2.36	42.09	28.18	40.14
